                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2913,                 4.6831,                 1.6921,                 0.0017,                0.42857,                0.01114,                0.00458,                 2.1381,                  5.105,                 1.3728,                0.00034,                0.00034,                0.00034
                      2,                 2.0434,                 3.6144,                 1.4522,                0.00145,                0.36508,                0.00163,                0.00059,                 2.0517,                 5.3481,                  1.499,             0.00069992,             0.00069992,             0.00069992
                      3,                 2.0494,                 3.1288,                 1.4642,                0.00126,                0.31746,                0.00124,                0.00056,                 2.0966,                 5.0087,                 1.6288,              0.0010595,              0.0010595,              0.0010595
                      4,                 2.0242,                  2.865,                 1.4503,                0.36868,                0.01587,                0.01767,                0.00725,                 2.0577,                 4.5025,                 1.5514,              0.0014186,              0.0014186,              0.0014186
                      5,                 2.0209,                 2.7479,                 1.4254,                0.41188,                0.06349,                0.09307,                0.04328,                 2.2376,                 3.5877,                 1.6905,              0.0017769,              0.0017769,              0.0017769
                      6,                 2.0087,                 2.4539,                 1.3978,                0.22602,                 0.1746,                0.10166,                0.04044,                  2.443,                 3.6524,                 1.7969,              0.0019946,              0.0019946,              0.0019946
                      7,                 2.0566,                 2.5673,                 1.4528,                0.19616,                0.14286,                0.10715,                0.03743,                 2.4079,                 3.7162,                 1.9061,              0.0019922,              0.0019922,              0.0019922
                      8,                 2.0776,                  2.374,                 1.4773,                0.06821,                0.03175,                0.01465,                0.00689,                 2.7459,                  4.349,                  2.072,              0.0019894,              0.0019894,              0.0019894
                      9,                 1.9987,                 2.2363,                 1.3833,                0.06037,                0.03175,                0.02262,                0.01514,                 2.5325,                 4.3743,                 1.9346,              0.0019861,              0.0019861,              0.0019861
                     10,                 1.8869,                 2.0965,                 1.3665,                0.40284,                0.21428,                0.15934,                0.07766,                  2.197,                 3.5158,                 1.6361,              0.0019825,              0.0019825,              0.0019825
                     11,                 1.8688,                 1.9411,                 1.3242,                0.43856,                0.14286,                0.15226,                0.06276,                  2.477,                 3.4686,                 1.6484,              0.0019784,              0.0019784,              0.0019784
                     12,                 1.8438,                 1.8777,                 1.3638,                0.43271,                0.20635,                0.19424,                 0.0898,                 2.3339,                  2.888,                  1.714,              0.0019738,              0.0019738,              0.0019738
                     13,                 1.8125,                 1.8306,                 1.3273,                0.25087,                0.18612,                0.13605,                0.07408,                 2.4715,                 2.6918,                  1.774,              0.0019689,              0.0019689,              0.0019689
                     14,                 1.8027,                 1.7712,                 1.3169,                0.36644,                0.30159,                0.21459,                0.10471,                 2.1802,                 2.3334,                 1.5588,              0.0019635,              0.0019635,              0.0019635
                     15,                  1.823,                 1.6907,                 1.2799,                0.43783,                 0.2381,                0.25256,                0.12225,                 2.1893,                 2.4629,                 1.6084,              0.0019577,              0.0019577,              0.0019577
                     16,                 1.7993,                 1.7191,                 1.3435,                 0.4224,                0.30159,                0.22434,                0.09216,                 2.2887,                 2.7497,                 1.6397,              0.0019515,              0.0019515,              0.0019515
                     17,                 1.8133,                 1.6986,                 1.3113,                0.31934,                0.30159,                 0.2124,                0.11265,                 2.1442,                 2.5913,                 1.6102,              0.0019449,              0.0019449,              0.0019449
                     18,                 1.7441,                 1.6104,                 1.2992,                 0.4128,                0.30159,                0.27971,                0.14857,                  2.186,                 2.3153,                 1.6507,              0.0019379,              0.0019379,              0.0019379
                     19,                  1.715,                 1.4895,                  1.298,                0.44065,                0.38095,                0.30517,                0.14873,                 2.0896,                 2.3235,                 1.5297,              0.0019305,              0.0019305,              0.0019305
                     20,                 1.6776,                  1.444,                 1.2627,                0.56616,                0.34921,                0.33359,                0.17083,                 2.0733,                 2.4099,                 1.5369,              0.0019226,              0.0019226,              0.0019226
                     21,                 1.7084,                  1.435,                 1.2813,                0.59844,                0.28392,                0.31066,                0.13966,                 2.2956,                 2.5651,                 1.7213,              0.0019144,              0.0019144,              0.0019144
                     22,                 1.6941,                 1.4338,                 1.2815,                0.40121,                0.22222,                0.23543,                0.11684,                 2.2771,                 2.7309,                 1.7183,              0.0019058,              0.0019058,              0.0019058
